2963	1	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
727	2	[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
2442	3	[21, 22, 23, 24, 25, 26, 27, 28, 29, 30]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2543	4	[31, 32, 33, 34, 35, 36, 37, 38, 39, 40]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
549	5	[41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2187	6	[51, 52, 53, 54, 55, 56, 57, 58, 59, 60]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
2187	7	[61, 62, 63, 64, 65, 66, 67, 68, 69, 70]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1174	8	[71, 72, 73, 74, 75, 76, 77, 78, 79, 80]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
373	9	[81, 82, 83, 84, 85, 86, 87, 88, 89, 90]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
958	10	[91, 92, 93, 94, 95, 96, 97, 98, 99, 100]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
1191	11	[101, 102, 103, 104, 105, 106, 107, 108, 109, 110]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2017	12	[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2017	13	[121, 122, 123, 124, 125, 126, 127, 128, 129, 130]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
